metric_name,labels,metric1,metric2,abs(diff),percent_diff,diff
go_gc_duration_seconds,{'quantile': '0'},6.5247e-05,3.2236e-05,3.301099999999999e-05,-50.59389703741167,-3.301099999999999e-05
go_gc_duration_seconds,{'quantile': '0.25'},0.00020809,0.00026977,6.168000000000002e-05,29.64102071219185,6.168000000000002e-05
go_gc_duration_seconds,{'quantile': '0.5'},0.000370394,0.0004186,4.8205999999999965e-05,13.01478965641991,4.8205999999999965e-05
go_gc_duration_seconds,{'quantile': '0.75'},0.000510829,0.000616787,0.00010595800000000007,20.742361925419285,0.00010595800000000007
go_gc_duration_seconds,{'quantile': '1'},0.001161039,0.001189519,2.848e-05,2.4529753091842736,2.848e-05
go_gc_duration_seconds_sum,{},0.00720772,0.00814729,0.0009395699999999998,13.035606266614128,0.0009395699999999998
go_memstats_alloc_bytes,{},2154864.0,2529392.0,374528.0,17.380586431440683,374528.0
go_memstats_alloc_bytes_total,{},37478000.0,37569184.0,91184.0,0.24330006937403276,91184.0
go_memstats_buck_hash_sys_bytes,{},1457080.0,1452960.0,4120.0,-0.2827572954127433,-4120.0
go_memstats_frees_total,{},451791.0,446804.0,4987.0,-1.103828982870398,-4987.0
go_memstats_gc_cpu_fraction,{},8.131462844030771e-05,8.876974843303574e-05,7.455119992728023e-06,9.168239633783427,7.455119992728023e-06
go_memstats_gc_sys_bytes,{},5018152.0,4962664.0,55488.0,-1.1057457008077876,-55488.0
go_memstats_heap_alloc_bytes,{},2154864.0,2529392.0,374528.0,17.380586431440683,374528.0
go_memstats_heap_idle_bytes,{},62791680.0,62111744.0,679936.0,-1.0828440965427268,-679936.0
go_memstats_heap_inuse_bytes,{},3694592.0,4407296.0,712704.0,19.290465631929045,712704.0
go_memstats_heap_objects,{},15473.0,20294.0,4821.0,31.15750016157177,4821.0
go_memstats_heap_released_bytes,{},62373888.0,61947904.0,425984.0,-0.6829524560021014,-425984.0
go_memstats_heap_sys_bytes,{},66486272.0,66519040.0,32768.0,0.04928536224741252,32768.0
go_memstats_last_gc_time_seconds,{},1693129530.6217554,1693129527.2858808,3.335874557495117,-1.9702417902250568e-07,-3.335874557495117
go_memstats_mallocs_total,{},467264.0,467098.0,166.0,-0.03552595534858239,-166.0
go_memstats_mspan_inuse_bytes,{},114920.0,105536.0,9384.0,-8.165680473372781,-9384.0
go_memstats_other_sys_bytes,{},1324584.0,1384192.0,59608.0,4.500129852089411,59608.0
go_memstats_stack_inuse_bytes,{},622592.0,589824.0,32768.0,-5.263157894736842,-32768.0
go_memstats_stack_sys_bytes,{},622592.0,589824.0,32768.0,-5.263157894736842,-32768.0
go_threads,{},9.0,8.0,1.0,-11.11111111111111,-1.0
mysql_exporter_collector_duration_seconds,{'collector': 'collect.auto_increment.columns'},0.027554082,0.032493574,0.004939491999999997,17.92653444233779,0.004939491999999997
mysql_exporter_collector_duration_seconds,{'collector': 'collect.binlog_size'},0.035525975,0.033111482,0.0024144930000000037,-6.79641586191513,-0.0024144930000000037
